en_name,zh_name
cough,咳嗽  
asthma,哮喘  
chest pain,胸痛  
shoulder pain,肩痛  
arm pain,手臂痛  
pain in the chest,胸部疼痛  
fever,发热  
bleeding,出血  
elbow pain,肘痛  
headache,头痛  
facial paralysis,面瘫  
wrist pain,腕痛  
palm pain,手掌痛  
sore throat,咽喉痛  
coma,昏迷  
toothache,牙痛  
facial swelling,面部肿胀  
finger pain,手指痛  
eye pain,眼痛  
tinnitus,耳鸣  
nasal congestion,鼻塞  
facial pain,面部疼痛  
abdominal pain,腹痛  
diarrhea,腹泻  
numbness,麻木  
motor impairment of upper limb,上肢运动障碍  
skin diseases,皮肤病  
numbness of upper limb,上肢麻木  
paralysis of arm,手臂瘫痪  
pain in the shoulder and arm,肩臂疼痛  
frozen shoulder,肩周炎  
neck stiffness,颈部僵硬  
difficulty swallowing,吞咽困难  
goiter,甲状腺肿  
voice hoarseness,声音嘶哑  
eye disorders,眼部疾病  
tearing,流泪  
eye twitching,眼睑抽搐  
trigeminal neuralgia,三叉神经痛  
drooling,流涎  
jaw stiffness,颌部僵硬  
dizziness,眩晕  
hypertension,高血压  
thyroid disorders,甲状腺疾病  
neck swelling,颈部肿胀  
neck pain,颈痛  
swelling in neck region,颈部区域肿胀  
chest congestion,胸闷  
mastitis,乳腺炎  
postpartum lactation deficiency,产后乳汁不足  
breast pain,乳房痛  
epigastric pain,上腹痛  
abdominal distension,腹胀  
nausea,恶心  
stomach pain,胃痛  
vomiting,呕吐  
distension,胀气  
borborygmus,肠鸣  
irritability,烦躁  
poor appetite,食欲不振  
mania,躁狂  
gastric pain,胃痛  
epilepsy,癫痫  
constipation,便秘  
hernia,疝气  
dysmenorrhea,痛经  
lower abdominal pain,下腹痛  
irregular menstruation,月经不调  
seminal emission,遗精  
urinary disorders,泌尿系统疾病  
edema,水肿  
gynecological disorders,妇科疾病  
impotence,阳痿  
pain in the thigh,大腿痛  
muscular atrophy,肌肉萎缩  
motor impairment of the lower limb,下肢运动障碍  
leg weakness,腿部无力  
knee pain,膝痛  
weakness of knee,膝部无力  
motor impairment,运动障碍  
pain in the leg,腿痛  
stomachache,胃痛  
limited knee mobility,膝关节活动受限  
swelling,肿胀  
digestive disorders,消化系统疾病  
general weakness,全身无力  
pain and weakness of lower leg,小腿疼痛与无力  
leg paralysis,腿部瘫痪  
cough with phlegm,咳痰  
ankle pain,踝痛  
stomach ache,胃痛  
nightmares,噩梦  
uterine bleeding,子宫出血  
febrile disease without sweating,无汗发热病  
fatigue,疲劳  
insomnia,失眠  
thigh pain,大腿痛  
muscle spasm,肌肉痉挛  
circulatory issues,循环系统问题  
hernia relief,疝气缓解  
intestinal disorders,肠道疾病  
rib pain,肋骨痛  
digestive issues,消化问题  
breast issues,乳房问题  
arm paralysis,手臂瘫痪  
chest tightness,胸闷  
heart pain,心痛  
palpitations,心悸  
arm motor impairment,手臂运动障碍  
sweating disorders,出汗异常  
anxiety,焦虑  
hand pain,手痛  
lactation disorders,哺乳障碍  
febrile diseases,发热病  
