en_name,zh_name
anterior chest,前胸  
anterolateral arm,前外侧臂  
arm,手臂  
forearm,前臂  
anterolateral forearm,前外侧前臂  
wrist,腕部  
palm,手掌  
finger,手指  
hand dorsum,手背  
hand,手  
posterolateral forearm,后外侧前臂  
elbow,肘部  
posterolateral elbow,后外侧肘部  
lateral arm,外侧臂  
shoulder girdle,肩带  
anterior neck,前颈  
face,面部  
head,头部  
neck,颈部  
anterior thorax,前胸廓  
upper abdomen,上腹部  
abdomen,腹部  
lower abdomen,下腹部  
anterior thigh,前大腿  
thigh,大腿  
knee,膝部  
leg,小腿  
anterior leg,前小腿  
anterolateral leg,前外侧小腿  
ankle,踝部  
foot,足部  
toe,脚趾  
great toe,大脚趾  
medial foot,内侧足  
medial leg,内侧小腿  
medial thigh,内侧大腿  
groin region,腹股沟区域  
chest,胸部  
armpit,腋窝  
medial arm,内侧臂  
anteromedial forearm,前内侧前臂  
hand/finger,手/手指  
posterior forearm,后前臂  
shoulder,肩部  
scapular region,肩胛区域  
upper back,上背部  
back,背部  
lumbar,腰部  
sacral,骶部  
buttock,臀部  
prone,俯卧位  
anterior thoracic,前胸廓  
anterior thoracic region,前胸廓区域  
anterior aspect of the arm,手臂前侧  
anterior aspect of the elbow,肘部前侧  
anterior forearm,前臂前侧  
anterior wrist,腕部前侧  
palm of the hand,手掌  
tip of the middle finger,中指指尖  
posterior wrist,腕部后侧  
posterior elbow,肘部后侧  
posterior arm,手臂后侧  
side of head,头部侧面  
forehead,额部  
parietal region,顶骨区域  
side of torso,躯干侧面  
hip,髋部  
lower leg,小腿  
foot dorsum,足背  
groin,腹股沟  
perineal region,会阴区域  
sacral region,骶骨区域  
lumbar region,腰部区域  
upper back region,上背部区域  
posterior neck,后颈  
perineal,会阴  
Lower abdomen,下腹部
